Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL2171935,,None,467.59,1,6.62,24c,Cc1c(-c2ccccc2F)nc2ccccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,IC50,'=',509,nM,6.29,,,UO_0000065,13.46,0.25,-0.33,22,0,CHEMBL2174947,Inhibition of PI3Kdelta in human B cells assessed as inhibition of anti-IgM/CD40L-induced proliferation after 72 hrs by [3H]thymidine incorporation assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,B,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2169853,1,Scientific Literature,J Med Chem,2012,None,,,,509
CHEMBL2171946,,None,521.69,1,3.81,7,CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCC(C(C)(C)O)CC3)sc2n1,IC50,'=',50,nM,7.3,,,UO_0000065,13.99,0.27,3.49,7.9,0,CHEMBL2174982,Inhibition of human PI3Kdelta in Ri-1 cells assessed as inhibition AKt phosphorylation incubated for 30 mins by sandwich immunoassay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Ri-1,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2169748,1,Scientific Literature,J Med Chem,2012,None,,,,50
CHEMBL5422770,,None,510.95,1,4.8,35,CC(c1nn(-c2cccnc2)c2cc(Cl)ccc12)n1nc(-c2ccc3c(c2)OCO3)c2c(N)ncnc21,IC50,'=',11.2,nM,7.95,,,UO_0000065,15.56,0.29,3.15,6.69,0,CHEMBL5366506,Inhibition of PI3Kdelta (unknown origin) using PIP2:PS as substrate in presence of ATP measured after 1 hr by ADP-Glo assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL5365433,1,Scientific Literature,J Med Chem,2023,None,TIME = 1.0 hr,INHIBITOR,,11.2
CHEMBL5187387,,None,405.85,0,3.07,9,C[C@H](Nc1nc(N)nc(N)c1C#N)c1nn(-c2cccnc2)c2cc(Cl)ccc12,IC50,'=',2,nM,8.7,,,UO_0000065,21.43,0.41,5.63,6.03,1,CHEMBL5366506,Inhibition of PI3Kdelta (unknown origin) using PIP2:PS as substrate in presence of ATP measured after 1 hr by ADP-Glo assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL5365433,1,Scientific Literature,J Med Chem,2023,None,TIME = 1.0 hr,INHIBITOR,,2
CHEMBL3355013,,None,472.94,0,3.64,A5,Cn1cnc2c(N3CCC[C@H]3c3nc4cccc(Cl)c4c(=O)n3-c3ccccc3)nc(N)nc21,IC50,'=',52,nM,7.28,,,UO_0000065,15.4,0.29,3.64,6.76,0,CHEMBL3379043,Inhibition of PI3Kdelta (unknown origin) by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL3351852,1,Scientific Literature,ACS Med Chem Lett,2015,None,,,,0.052
CHEMBL3355021,,None,461.94,0,3.53,B4,N#Cc1c(N)ncnc1N1CSC[C@H]1c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,IC50,'=',5,nM,8.3,,,UO_0000065,17.97,0.35,4.77,7.3,0,CHEMBL3379046,Inhibition of PI3Kdelta (unknown origin) assessed as PI3Kalpha-mediated Akt1/2 (S473) phosphorylation rate by cellular assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL3351852,1,Scientific Literature,ACS Med Chem Lett,2015,None,,,,0.005
CHEMBL2171937,,None,575.72,2,2.36,15,Cn1c(CN2CCC(C(C)(C)O)CC2)nc2c(N3CCOCC3)nc(-n3c(N4CCOCC4)nc4ccccc43)nc21,IC50,'=',39,nM,7.41,,,UO_0000065,12.87,0.24,5.05,6.75,0,CHEMBL2174981,Inhibition of recombinant PI3Kdelta assessed as inhibition of PIP3 production for 30 mins by fluorescence polarization assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2169748,1,Scientific Literature,J Med Chem,2012,None,,,,39
CHEMBL2171950,,None,530.68,1,3.4,11,Cn1c(CN2CCC(C(C)(C)O)CC2)nc2c(N3CCOCC3)nc(-n3c(C4CC4)nc4ccccc43)nc21,IC50,'=',19,nM,7.72,,,UO_0000065,14.55,0.27,4.32,7.93,0,CHEMBL2174982,Inhibition of human PI3Kdelta in Ri-1 cells assessed as inhibition AKt phosphorylation incubated for 30 mins by sandwich immunoassay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Ri-1,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2169748,1,Scientific Literature,J Med Chem,2012,None,,,,19
CHEMBL58782,,None,197.2,0,1.72,3,N#Cc1cc(-c2ccncc2)cnc1O,IC50,'=',65700,nM,4.18,,,UO_0000065,21.21,0.38,2.46,5.99,0,CHEMBL1646729,Inhibition of human PI3K p110delta catalytic subunit by AlphaScreen assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL1641442,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,,65.7
CHEMBL3109128,,None,307.36,0,2.11,4g,Nc1cccc(-c2nc(N3CCOCC3)c3ncccc3n2)c1,IC50,'=',150,nM,6.82,,,UO_0000065,22.2,0.41,4.71,8.84,0,CHEMBL3112127,Inhibition of PI3Kdelta (unknown origin) after 1 hr by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL3108735,1,Scientific Literature,J Med Chem,2014,None,,,,0.15
CHEMBL2387080,TASELISIB,3,460.54,0,3.17,EUB0000685a,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,IC50,'=',4,nM,8.4,,,UO_0000065,18.23,0.34,5.23,7.08,0,CHEMBL5209968,Affinity Phenotypic Cellular interaction (MesoScale Discovery assay (AKT phoshorylation in MCF 7 cells)) EUB0000685a PIK3CD,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,Mode of action: Inhibitor | Protein family: Protein Kinase | Recommended concentration = 100.0 nM,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL5209897,65,EUbOPEN Chemogenomic Library Literature Data,,2023,None,Affinity Phenotypic Cellular Source Knowledge: https://doi.org/10.1021/jm4003632,,,4
CHEMBL5219246,,None,571.05,2,3.61,69,N#Cc1c(N)nc(N)nc1N1CC2(CC2)C[C@H]1c1nc(NCCc2ccc(C(=O)NO)cc2)c2c(Cl)cccc2n1,IC50,,,,,,ND,,,,,,0,CHEMBL5217050,Inhibition of PI3Kdelta (unknown origin) measured by ADP-Glo assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL5214954,1,Scientific Literature,Bioorg Med Chem,2022,None,,,,
CHEMBL2397191,,None,374.47,0,2.3,7,Cc1nc(NC(=O)N2CC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C)n1,IC50,'=',1600,nM,5.8,,,UO_0000065,15.48,0.3,3.5,5.08,0,CHEMBL2400724,Inhibition of N-terminal myristoylated P110delta (unknown origin)-mediated AKT phosphorylation at Ser473 expressed in rat Rat1 cells by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Rat1,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2396607,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3307665,,,,1.6
CHEMBL2397197,,None,461.9,0,4.18,22,CC(C)(c1cc(-c2sc(NC(=O)N3CCC[C@H]3C(N)=O)nc2Cl)ccn1)C(F)(F)F,IC50,'=',430,nM,6.37,,,UO_0000065,13.78,0.29,2.19,6.29,0,CHEMBL2400731,Inhibition of P110delta (unknown origin) using PIP2:PS as substrate by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2396607,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,0.43
CHEMBL2397195,,None,374.47,0,2.51,12,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1cc(C(C)C)ncn1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL2400731,Inhibition of P110delta (unknown origin) using PIP2:PS as substrate by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2396607,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,
